countries	var_analyzed	2021/5	2021/6	2021/7	2021/8	2021/9	2021/10	2021/11	2021/12	2022/1	2022/2	2022/3	2022/4	2022/5	2022/6	2022/7	2022/8	2022/9	2022/10	2022/11
Bahrain	deaths_million	665,654	918,33	940,066	942,783	943,462	946,179	946,858	946,858	956,368	987,613	999,16	1001,877	1010,707	1013,424	1024,971	1029,046	1032,442	1037,876	1043,31
Bahrain	cases_million	163377,907	180559,923	182841,485	185119,651	186829,294	188032,905	188617,729	191587,36	254425,748	349728,339	376616,672	386286,99	397806,196	425105,469	448057,616	456242,439	462261,851	468801,558	472975,479
Bahrain	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bahrain	rep_rate	1,169	0,596	0,723	0,988	0,920	0,910	0,907	1,577	1,645	0,918	0,714	0,840	1,052	1,267	0,833	0,774	1,066	0,971	0,844
Bahrain	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bahrain	vacc_hundred	53,73	67,05	71,67	73,93	76,03	77,53	78,76	80,01	81,1	NA	NA	NA	NA	NA	NA	83,23	83,28	NA	NA
Bangladesh	deaths_million	73,715	84,721	120,833	153,02	160,702	162,793	163,453	163,985	165,866	169,622	170,119	170,148	170,171	170,276	171,106	171,293	171,527	171,877	171,935
Bangladesh	cases_million	4676,424	5334,876	7298,969	8765,99	9088,989	9168,598	9208	9262,063	10508,039	11353,573	11400,306	11406,814	11411,58	11530,059	11713,882	11752,957	11830,364	11889,031	11896,888
Bangladesh	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bangladesh	rep_rate	0,822	1,336	1,182	0,796	0,696	0,683	0,946	1,116	1,838	0,598	0,375	0,668	1,035	1,991	0,819	0,757	1,261	0,739	0,557
Bangladesh	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bangladesh	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
