countries	var_analyzed	2021/5	2021/6	2021/7	2021/8	2021/9	2021/10	2021/11	2021/12	2022/1	2022/2	2022/3	2022/4	2022/5	2022/6	2022/7	2022/8	2022/9	2022/10	2022/11
Democratic Republic of Congo	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Democratic Republic of Congo	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denmark	deaths_million	427,727	430,787	433,337	439,287	451,527	461,387	492,158	555,399	638,36	784,053	968,675	1046,877	1081,727	1099,748	1128,648	1176,929	1202,599	1249,01	1280,46
Denmark	cases_million	47809,354	49925,887	53858,05	58768,749	60996,294	65924,163	82859,493	136409,668	296241,461	470029,966	519999,714	529839,812	533280,836	539208,831	549051,988	556453,737	560929,738	566890,033	570138,105
Denmark	icu_million	7,31	6,29	2,21	3,74	5,44	4,76	10,2	13,09	13,94	8,16	8,16	3,74	2,38	2,55	3,23	3,4	1,87	3,4	2,89
Denmark	rep_rate	1,053	0,795	1,207	1,002	0,865	1,269	1,257	1,308	1,243	0,913	0,660	0,695	0,878	1,321	1,122	0,935	1,060	1,043	1,015
Denmark	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Denmark	vacc_hundred	20,46	32,18	53,07	70,27	73,07	74,12	75,08	77,31	80,31	80,62	80,71	80,75	80,79	80,84	80,86	80,87	80,88	80,89	NA
Djibouti	deaths_million	137,396	138,288	139,18	140,072	148,994	161,484	165,945	168,622	168,622	168,622	168,622	168,622	168,622	168,622	168,622	168,622	168,622	168,622	168,622
Djibouti	cases_million	10289,503	10351,064	10394,78	10483,106	11429,708	12024,792	12047,989	12183,6	13796,66	13870,711	13906,398	13927,81	13984,91	13998,292	13998,292	13998,292	13998,292	13998,292	13998,292
Djibouti	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Djibouti	rep_rate	0,570	0,696	0,912	1,299	1,386	0,567	0,491	1,314	1,252	0,343	0,590	0,430	0,020	0,119	0,005	0,000	0,000	0,000	0,000
Djibouti	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Djibouti	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dominica	deaths_million	NA	NA	NA	NA	274,884	439,814	522,279	645,977	700,954	783,419	865,884	865,884	893,373	934,605	934,605	934,605	1017,07	1017,07	1017,07
Dominica	cases_million	2583,908	2652,629	2886,281	22512,988	47843,536	66288,243	82849,996	93652,932	124137,552	152670,497	162992,386	165383,875	194947,635	204128,756	204128,756	204128,756	216429,808	216608,483	216608,483
Dominica	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dominica	rep_rate	0,098	0,125	0,278	0,559	0,938	1,028	1,066	0,987	1,082	0,971	0,832	0,587	0,433	0,304	0,135	0,045	0,019	0,010	0,006
Dominica	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dominica	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dominican Republic	deaths_million	323,097	340,374	352,931	356,939	360,323	367,804	374,394	378,223	383,567	388,999	389,622	389,711	389,8	390,335	390,335	390,424	390,424	390,424	390,424
Dominican Republic	cases_million	26074,51	28963,059	30448,878	31185,197	31975,485	33989,944	36268,367	37294,922	49448,201	51167,972	51476,464	51585,825	52011,605	53949,03	55946,479	56862,604	57384,119	57643,808	57920,685
Dominican Republic	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dominican Republic	rep_rate	1,148	0,986	0,837	0,925	1,087	1,147	0,954	1,137	1,229	0,628	0,687	1,059	1,513	1,393	1,024	0,825	0,252	0,256	0,697
Dominican Republic	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dominican Republic	vacc_hundred	NA	25,76	NA	41,49	43,71	47,43	NA	NA	NA	NA	NA	NA	53,27	NA	NA	NA	NA	NA	NA
Ecuador	deaths_million	1142,825	1197,711	1757,18	1792,067	1821,232	1832,12	1849,675	1871,063	1918,393	1956,724	1967,724	1977,557	1979,723	1984,612	1988,834	1991,167	1994	1995,444	1996,556
Ecuador	cases_million	23667,405	25471,027	27074,715	27873,06	28341,589	28735,178	29294,647	30521,523	40666,514	45984,107	47769,008	48313,755	48735,176	50546,186	53405,083	55328,476	55762,34	55998,827	56170,873
Ecuador	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecuador	rep_rate	0,981	0,986	0,970	0,941	0,978	1,053	1,089	1,197	1,212	1,025	0,970	1,005	1,095	1,047	1,016	0,813	0,778	0,710	0,409
Ecuador	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecuador	vacc_hundred	4,41	8,07	13,69	48,98	NA	57,3	63,61	70,5	73,92	75,36	76,29	NA	77,65	NA	78,1	NA	NA	NA	NA
Egypt	deaths_million	136,012	145,68	148,878	150,788	156,149	168,042	184,467	195,981	203,937	216,902	219,993	221,759	222,705	222,75	223,128	223,389	223,416	223,425	223,425
Egypt	cases_million	2366,427	2534,298	2561,147	2598,799	2743,704	2982,401	3230,721	3473,959	3837,378	4358,686	4552,334	4645,865	4645,865	4645,865	4645,865	4645,865	4645,865	4645,865	4645,865
Egypt	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Egypt	rep_rate	1,027	0,778	0,592	1,286	1,271	1,072	1,012	0,992	1,162	1,001	0,384	0,320	0,002	0,000	0,000	0,000	0,000	0,000	0,000
Egypt	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Egypt	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
El Salvador	deaths_million	354,934	375,766	414,905	460,514	510,385	572,723	595,923	603,498	615,334	642,479	650,054	651,475	652,106	654	661,891	666,467	667,414	667,572	667,572
El Salvador	cases_million	11631,539	12430,731	13670,238	14844,408	16468,044	17900,089	18907,129	19245,176	21322,699	24677,131	25416,984	25580,642	25685,749	26773,276	30114,609	31845,405	31845,405	31845,405	31845,405
El Salvador	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
El Salvador	rep_rate	1,132	1,134	1,031	0,698	0,424	0,313	0,364	0,500	0,581	0,261	0,230	0,247	0,105	0,073	0,025	0,007	0,000	0,000	0,000
El Salvador	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
El Salvador	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	deaths_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	cases_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	icu_million	3,042	4,81	13,952	15,544	16,092	14,412	15,367	14,058	14,094	7,94	5,747	5,995	4,527	3,731	5,623	4,332	2,847	4,103	3,218
England	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	vacc_hundred	38,68	NA	56,62	63,44	66,54	67,76	68,81	70,41	71,85	72,76	73,45	73,93	74,32	74,57	75,09	75,39	75,53	75,69	75,79
Equatorial Guinea	deaths_million	70,451	72,242	73,437	75,228	87,766	99,706	104,483	104,483	108,662	108,662	109,259	109,259	109,259	109,259	109,259	109,259	109,259	109,259	109,259
Equatorial Guinea	cases_million	5092,196	5214,59	5301,758	5658,194	7380,669	7981,296	8115,034	8185,485	9434,503	9483,461	9552,718	9553,315	9505,551	9573,017	9984,381	10123,493	10156,927	10251,857	10259,022
Equatorial Guinea	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Equatorial Guinea	rep_rate	0,445	0,632	0,785	1,034	1,217	0,935	0,737	0,560	0,584	0,491	0,439	0,309	0,428	1,002	0,972	0,673	0,591	0,617	0,320
Equatorial Guinea	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Equatorial Guinea	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eritrea	deaths_million	3,8	6,243	9,5	10,315	11,401	12,215	16,286	20,63	26,601	27,958	27,958	27,958	27,958	27,958	27,958	27,958	27,958	27,958	27,958
Eritrea	cases_million	1111,28	1631,089	1777,125	1802,912	1824,627	1855,028	1997,263	2174,514	2588,462	2633,25	2640,579	2642,207	2648,993	2659,851	2726,625	2756,213	2760,556	2765,713	2765,713
Eritrea	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eritrea	rep_rate	1,121	1,003	0,779	0,809	1,093	1,239	1,247	1,104	0,966	0,592	0,487	0,424	0,556	0,879	0,972	0,655	0,520	0,527	0,195
Eritrea	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eritrea	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Estonia	deaths_million	944,147	956,967	959,23	974,312	1023,329	1154,545	1357,401	1456,943	1535,371	1686,193	1854,36	1914,689	1941,083	1953,903	1975,772	1999,149	2021,773	2065,511	2103,971
Estonia	cases_million	97690,609	98836,859	100716,858	107050,64	117835,187	146274,237	167853,135	182048,529	254545,03	372855,307	419515,197	431497,273	435024,252	437470,59	442210,18	450836,46	453969,793	457468,87	459477,823
Estonia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Estonia	rep_rate	0,780	0,721	1,249	1,237	1,154	1,179	0,868	1,053	1,371	1,015	0,743	0,701	0,974	1,095	1,040	1,047	1,080	1,136	1,238
Estonia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Estonia	vacc_hundred	20,02	33,49	42,65	48,23	53,85	57,16	59,3	61,47	62,47	62,95	63,21	63,33	63,45	63,53	63,63	63,75	63,83	63,89	63,93
Eswatini	deaths_million	560,049	564,21	654,916	916,217	1015,245	1033,553	1038,546	1084,315	1144,231	1156,714	1160,043	1162,539	1172,525	1178,35	1179,182	1183,343	1183,343	1183,343	1183,343
Eswatini	cases_million	15474,169	15881,1	21618,9	36091,971	38216,497	38630,085	38825,644	55013,814	56892,85	57552,759	58061,214	58786,865	60340,523	60838,992	60981,293	61053,691	61072,831	61212,636	61389,055
Eswatini	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eswatini	rep_rate	0,864	1,314	1,342	1,016	0,578	0,552	1,425	1,868	0,511	0,868	0,977	1,241	1,062	0,702	0,759	0,925	0,106	0,217	0,459
Eswatini	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eswatini	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ethiopia	deaths_million	33,758	35,014	35,541	37,891	45,242	52,35	54,75	56,225	59,467	60,48	60,764	60,869	60,893	61,08	61,339	61,371	61,371	61,371	61,371
Ethiopia	cases_million	2200,852	2238,403	2272,371	2497,44	2801,704	2959,695	3011,316	3406,891	3770,127	3799,054	3807,41	3813,975	3831,604	3961,131	3989,604	3997,328	4000,481	4003,569	4008,577
Ethiopia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ethiopia	rep_rate	0,720	0,744	1,175	1,409	0,994	0,793	0,779	1,751	0,663	0,519	0,794	0,968	1,473	1,266	0,646	0,732	0,885	1,043	1,239
Ethiopia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ethiopia	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Europe	deaths_million	1480,166	1522,053	1563,7	1618,675	1687,605	1794,084	1946,152	2097,052	2217,332	2337,802	2423,398	2476,89	2506,793	2526,113	2555,255	2587,261	2609,021	2636,954	2661,219
Europe	cases_million	63378,594	65222,795	69975,463	75170,241	80164,098	87555,407	100009,558	118862,909	171940,442	211843,806	242700,281	259420,366	267065,627	276473,021	292205,706	300522,347	308243,117	317615,714	322844,265
Europe	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Europe	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Europe	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Europe	vacc_hundred	17,04	28,28	39,94	48,03	52,43	55,15	58,25	61,41	63,49	64,75	65,45	65,74	65,95	66,12	66,26	66,48	66,58	66,67	66,76
European Union	deaths_million	1616,004	1647,178	1657,644	1680,758	1716,576	1776,116	1882,653	2015,06	2130,372	2251,823	2335,249	2393,519	2429,696	2451,469	2486,513	2526,694	2550,57	2580,634	2610,622
European Union	cases_million	72254,901	73450,882	77109,924	81512,968	84904,724	90087,355	103404,618	124774,127	194313,636	241296,93	281510,165	305896,008	317408,777	331426,54	354823,661	365143,783	373674,789	387018,53	394697,523
European Union	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
European Union	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
European Union	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
European Union	vacc_hundred	18,45	33,37	48,78	57,63	62,27	64,61	66,42	68,42	70,42	71,72	72,32	72,49	72,58	72,65	72,7	72,73	72,76	72,78	72,8
Faeroe Islands	deaths_million	18,826	18,826	37,653	37,653	37,653	37,653	244,743	263,569	338,875	527,138	527,138	527,138	527,138	527,138	527,138	527,138	527,138	527,138	527,138
Faeroe Islands	cases_million	13517,33	14609,259	18506,316	18845,191	22177,457	40382,552	68264,397	108515,165	369467,402	644558,239	652484,139	652484,139	652484,139	652484,139	652484,139	652484,139	652484,139	652484,139	652484,139
Faeroe Islands	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Faeroe Islands	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Faeroe Islands	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Faeroe Islands	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Falkland Islands	deaths_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Falkland Islands	cases_million	16574,586	16574,586	16574,586	17363,852	17626,94	18153,118	20784,004	21836,359	23414,891	28939,753	32359,905	46566,693	443830,571	477505,919	482767,693	496185,214	507761,115	507761,115	507761,115
Falkland Islands	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Falkland Islands	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Falkland Islands	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Falkland Islands	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fiji	deaths_million	4,302	22,586	255,978	533,466	671,134	724,911	748,573	750,724	861,504	896,997	896,997	927,112	929,263	931,414	935,716	944,321	944,321	944,321	944,321
Fiji	cases_million	471,085	4751,718	32030,537	50244,738	54877,072	56079,521	56472,091	57360,484	67602,813	68759,014	69268,818	69516,192	69917,367	70676,695	72651,379	73301,003	73396,725	73420,387	73539,772
Fiji	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fiji	rep_rate	1,273	1,585	1,309	0,848	0,733	0,778	0,870	1,532	1,270	0,752	0,956	0,837	1,247	1,513	1,372	0,805	0,521	0,267	0,161
Fiji	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fiji	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Finland	deaths_million	175,969	177,593	181,384	190,769	201,778	224,699	266,751	309,345	359,157	427,018	567,433	710,915	816,136	879,846	904,571	1006,543	1079,458	1185,4	1311,196
Finland	cases_million	16733,309	17327,814	19394,143	23097,074	25648,175	28773,026	34000,843	48879,528	88412,298	115103,113	159486,856	184634,557	197120,243	206761,004	211349,557	227189,304	233351,291	243421,598	251636,558
Finland	icu_million	NA	NA	2,166	5,775	5,234	6,497	9,205	11,19	11,731	8,844	8,122	9,746	4,693	2,707	2,888	3,068	2,707	3,971	4,332
Finland	rep_rate	0,895	1,003	1,310	1,045	0,952	1,053	1,161	1,307	1,109	1,055	1,205	0,648	0,986	1,150	0,395	0,825	1,047	1,115	1,149
Finland	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Finland	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
France	deaths_million	1615,383	1638,476	1650,2	1688,216	1721,307	1735,906	1757,672	1825,682	1931,945	2041,437	2099,037	2152,965	2188,312	2206,096	2242,225	2273,34	2288,367	2316,119	2344,963
France	cases_million	87878,755	85791,618	90984,87	100190,583	104079,41	106344,388	113846,652	147730,096	283078,451	335562,886	378514,09	423213,351	436104,051	459270,037	499142,156	510099,538	522811,983	543785,248	558692,448
France	icu_million	83,022	41,659	17,135	33,799	33,828	19,981	26,897	52,247	58,765	55,314	35,509	24,833	22,96	13,729	19,51	17,769	12,004	15,764	16,398
France	rep_rate	0,814	0,733	1,455	1,027	0,786	1,000	1,382	1,355	1,243	0,711	1,095	0,895	0,798	1,160	1,030	0,792	1,216	1,041	1,114
France	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
France	vacc_hundred	16,77	31,26	47,84	59,69	65,78	67,99	69,73	73,21	76,18	77,54	77,81	77,93	78,03	78,12	78,21	78,25	78,28	78,31	78,33
French Polynesia	deaths_million	463,61	463,61	486,464	1423,478	2027,477	2076,45	2076,45	2076,45	2076,45	2086,244	2109,099	2115,628	2118,893	2118,893	2118,893	2118,893	2118,893	2118,893	2118,893
French Polynesia	cases_million	61607,877	62055,163	65453,881	131175,48	131175,48	148684,915	148906,925	151430,661	157581,654	217762,788	235706,45	237420,501	238174,683	239209,643	245703,446	249627,806	250084,886	250603,999	251345,122
French Polynesia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French Polynesia	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French Polynesia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French Polynesia	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gabon	deaths_million	63,625	66,555	68,648	69,485	77,857	100,042	116,785	120,553	125,994	126,831	126,831	127,25	127,25	127,669	128,087	128,087	128,087	128,087	128,087
Gabon	cases_million	10225,63	10457,945	10625,38	10836,347	12622,452	14870,257	15630,827	17496,045	19642,134	19900,82	19917,982	19925,517	19945,609	20066,58	20306,011	20363,776	20381,357	20487,677	20499,398
Gabon	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gabon	rep_rate	0,977	1,006	1,095	1,261	1,335	1,109	0,939	0,969	0,810	0,547	0,382	0,233	0,183	0,206	0,256	0,191	0,159	0,155	0,100
Gabon	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gabon	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gambia	deaths_million	66,149	66,889	78,345	117,886	124,908	125,647	126,386	126,756	133,777	134,886	134,886	134,886	134,886	134,886	135,994	137,103	137,473	137,473	137,473
Gambia	cases_million	2214,712	2246,493	2848,86	3583,894	3671,108	3682,564	3691,433	3758,322	4376,209	4412,055	4430,163	4432,75	4435,337	4435,337	4463,423	4549,528	4622,329	4648,937	4651,154
Gambia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gambia	rep_rate	0,777	0,843	1,039	0,839	0,656	0,562	0,495	0,516	0,414	0,280	0,240	0,171	0,080	0,068	0,148	0,220	0,077	0,028	0,012
Gambia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gambia	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Georgia	deaths_million	1274,709	1419,726	1554,327	1978,429	2389,177	2682,684	3219,22	3685,518	3987,304	4303,243	4458,676	4475,234	4480,576	4484,315	4489,122	4497,134	4503,009	4506,214	4510,22
Georgia	cases_million	91861,013	97767,19	112043,5	146836,129	163715,003	192086,818	225842,962	249638,058	314049,704	428767,875	440196,187	442021,32	442570,409	443445,052	450332,431	463542,611	475563,01	475563,01	482241,543
Georgia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Georgia	rep_rate	0,975	0,976	1,260	1,108	0,868	1,164	1,000	0,925	1,357	0,919	0,485	0,594	0,172	0,237	0,013	0,000	0,001	0,001	0,043
Georgia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Georgia	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Germany	deaths_million	1060,839	1090,022	1099,162	1105,916	1123,164	1146,77	1215,595	1338,638	1412,813	1471,779	1552,012	1622,793	1667,27	1692,519	1725,504	1768,073	1798,588	1841,721	1892,663
Germany	cases_million	44154,169	44718,102	45181,387	47293,554	50707,798	54685,483	70011,086	85272,828	117734,819	176863,804	253143,211	296399,381	315533,723	338022,251	369285,931	385572,972	399573,431	426666,658	437370,217
Germany	icu_million	60,31	27,456	7,077	13,146	18,592	23,81	55,68	59,314	45,88	29,963	28,559	27,24	16,037	11,767	19,443	17,632	11,011	22,094	18,988
Germany	rep_rate	0,744	0,593	1,247	1,451	1,072	1,229	1,383	0,966	1,445	1,131	1,110	0,883	0,810	1,226	1,040	0,848	1,120	1,110	0,842
Germany	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Germany	vacc_hundred	18,21	37,56	52,55	60,56	64,27	66,41	68,34	70,96	73,84	75,19	75,7	75,88	75,98	76,04	76,09	76,13	76,16	76,19	76,21
Ghana	deaths_million	23,45	23,778	24,585	30,948	34,532	35,1	36,116	38,685	41,672	43,076	43,165	43,165	43,165	43,315	43,524	43,584	43,584	43,614	43,643
Ghana	cases_million	2804,946	2865,168	3077,411	3567,824	3808,176	3885,694	3910,877	4271,315	4687,556	4769,824	4808,568	4814,602	4820,487	4962,769	5018,749	5035,866	5051,4	5099,404	5108,426
Ghana	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ghana	rep_rate	1,063	1,193	1,253	1,122	0,943	0,844	0,929	1,150	1,024	0,942	0,872	0,857	0,831	0,773	0,581	0,430	0,389	0,508	0,511
Ghana	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ghana	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gibraltar	deaths_million	2876,641	2876,641	2876,641	2968,449	2968,449	2999,051	2999,051	3060,256	3090,859	3090,859	3090,859	3121,462	3121,462	3182,667	3213,269	3274,474	3305,077	3305,077	3366,282
Gibraltar	cases_million	131438,015	133059,95	151941,733	163846,13	169813,63	183370,566	221807,387	266272,914	396303,21	472136,365	517795,391	545857,943	563668,635	600820,149	609052,239	613550,816	614958,534	615754,2	617682,162
Gibraltar	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gibraltar	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gibraltar	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gibraltar	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greece	deaths_million	1164,664	1223,499	1248,439	1318,347	1427,832	1534,718	1748,392	2001,931	2262,885	2490,137	2649,02	2807,23	2873,864	2911,13	2984,986	3134,529	3188,357	3232,941	3303,716
Greece	cases_million	38739,247	40679,551	47501,717	56616,811	63145,765	71465,768	90409,777	116596,655	186878,02	233189,266	291809,068	320070,386	332521,744	354021,369	418818,943	458626,85	473779,997	494483,76	520433,758
Greece	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
